SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/root/.m2/repository/ch/qos/logback/logback-classic/1.1.3/logback-classic-1.1.3.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/root/.m2/repository/org/apache/activemq/activemq-all/5.12.1/activemq-all-5.12.1.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [ch.qos.logback.classic.util.ContextSelectorStaticBinder]
09:29:41.878 [main] INFO  m.MasterLauncher <init> - SIMaster [SIMaster{Member{host=127.0.0.1, port=30000, rmiRegistryName=master2, rmiRegistryPort=1099}}] has been successfully launched.
09:37:14.236 [pool-1-thread-1] INFO  c.c.r.v.BVVersionConstraint check - Checking BVVersionConstraint [TimestampedCell{Timestamp{ts=0}, Ordinal{ord=0}, Cell{data=NULL}} vs. VCEntry{CompoundKey{Row{row=1}, Column{col=0}}, Ordinal{ord=0}, Timestamp{ts=1}, bound=2}]: [0] - [0] < [2] with result [true].
09:37:14.236 [pool-1-thread-1] INFO  c.c.r.v.FVVersionConstraint check - Checking FVVersionConstraint [TimestampedCell{Timestamp{ts=0}, Ordinal{ord=0}, Cell{data=NULL}} vs. vce: VCEntry{CompoundKey{Row{row=1}, Column{col=0}}, Ordinal{ord=0}, Timestamp{ts=1}, bound=2}]: [0] - [0] <= [2] with result [true].
09:37:14.237 [pool-1-thread-1] INFO  c.c.r.v.BVVersionConstraint check - Checking BVVersionConstraint [TimestampedCell{Timestamp{ts=0}, Ordinal{ord=0}, Cell{data=NULL}} vs. VCEntry{CompoundKey{Row{row=1}, Column{col=0}}, Ordinal{ord=0}, Timestamp{ts=0}, bound=2}]: [0] - [0] < [2] with result [true].
09:37:14.237 [pool-1-thread-1] INFO  c.c.r.v.FVVersionConstraint check - Checking FVVersionConstraint [TimestampedCell{Timestamp{ts=0}, Ordinal{ord=0}, Cell{data=NULL}} vs. vce: VCEntry{CompoundKey{Row{row=1}, Column{col=0}}, Ordinal{ord=0}, Timestamp{ts=0}, bound=2}]: [0] - [0] <= [2] with result [true].
09:37:14.287 [RMI TCP Connection(12)-127.0.0.1] INFO  k.t.AbstractTable apply - Begin: apply tx.
09:37:14.287 [RMI TCP Connection(12)-127.0.0.1] INFO  k.t.AbstractTable apply - Begin: apply cts and bufferedUpdates.
09:37:14.289 [RMI TCP Connection(12)-127.0.0.1] INFO  k.t.AbstractTable put - Begin: put ck [CompoundKey{Row{row=1}, Column{col=0}}] and tc [TimestampedCell{Timestamp{ts=5}, Ordinal{ord=1}, Cell{data=27}}].
09:37:14.295 [RMI TCP Connection(11)-127.0.0.1] INFO  k.t.AbstractTable apply - Begin: apply tx.
09:37:14.295 [RMI TCP Connection(11)-127.0.0.1] INFO  k.t.AbstractTable apply - Begin: apply cts and bufferedUpdates.
09:37:14.295 [RMI TCP Connection(11)-127.0.0.1] INFO  k.t.AbstractTable put - Begin: put ck [CompoundKey{Row{row=1}, Column{col=0}}] and tc [TimestampedCell{Timestamp{ts=4}, Ordinal{ord=2}, Cell{data=0}}].
09:37:14.295 [RMI TCP Connection(10)-127.0.0.1] INFO  k.t.AbstractTable apply - Begin: apply tx.
09:37:14.296 [RMI TCP Connection(10)-127.0.0.1] INFO  k.t.AbstractTable apply - Begin: apply cts and bufferedUpdates.
09:37:14.296 [RMI TCP Connection(10)-127.0.0.1] INFO  k.t.AbstractTable put - Begin: put ck [CompoundKey{Row{row=1}, Column{col=0}}] and tc [TimestampedCell{Timestamp{ts=6}, Ordinal{ord=3}, Cell{data=116}}].
09:37:14.311 [RMI TCP Connection(11)-127.0.0.1] INFO  k.t.AbstractTable put - Begin fast path: [ItsCellStore MultiTimestampedCellsStore{TimestampedCells=[TimestampedCell{Timestamp{ts=5}, Ordinal{ord=1}, Cell{data=27}}]}; tc TimestampedCell{Timestamp{ts=4}, Ordinal{ord=2}, Cell{data=0}}].
