mpl vc100 wcf100 bv100 fv100 sv100 vc110 wcf110 bv110 fv110 sv110 vc200 wcf200 bv200 fv200 sv200 vc212 wcf212 bv212 fv212 sv212 vc221 wcf221 bv221 fv221 sv221
5 0.02 0.1424 0.0114 0.0096 0.013 0.024 0.1986 0.0142 0.0026 0.0184 0.0266 0.2452 8.0E-4 0.0186 0.0158 0.0012 0.1702 4.0E-4 6.0E-4 2.0E-4 6.0E-4 0.1554 0.0 4.0E-4 2.0E-4
10 0.0198 0.1994 0.0091 0.0115 0.0121 0.0126 0.2528 0.0065 0.001 0.0096 0.0294 0.2831 0.0014 0.0215 0.019 0.003 0.2498 0.0016 0.0014 0.0 0.0024 0.2648 0.0018 2.0E-4 0.0021
15 0.0396 0.3186 0.018733333333333334 0.0224 0.023333333333333334 0.022133333333333335 0.29113333333333336 0.012533333333333334 0.0022 0.017133333333333334 0.0128 0.229 4.6666666666666666E-4 0.008066666666666666 0.0088 0.0034 0.2972666666666667 0.001 0.0024 2.0E-4 8.666666666666666E-4 0.2623333333333333 2.0E-4 1.3333333333333334E-4 6.666666666666666E-4
20 0.0196 0.20255 0.0072 0.0126 0.0116 0.03265 0.2791 0.02145 0.00255 0.0242 0.0273 0.3182 6.5E-4 0.0215 0.01775 0.00125 0.245 0.0 0.00125 0.0 0.00215 0.2746 0.00105 2.0E-4 0.0017
25 0.03836 0.32364 0.0138 0.02528 0.02116 0.03228 0.29956 0.01856 0.00376 0.02544 0.03128 0.30816 0.00104 0.02244 0.02076 0.0036 0.27988 0.00128 0.00228 1.6E-4 0.0032 0.26952 0.00112 3.6E-4 0.00256
30 0.028066666666666667 0.3032666666666667 0.0113 0.017366666666666666 0.016 0.0281 0.29523333333333335 0.014633333333333333 0.0034333333333333334 0.0224 0.02666666666666667 0.2615 0.001 0.0172 0.0188 0.0028 0.2776 7.333333333333333E-4 0.0019666666666666665 2.3333333333333333E-4 0.002266666666666667 0.25426666666666664 9.0E-4 2.3333333333333333E-4 0.0017333333333333333
