mpl vc100 wcf100 bv100 fv100 sv100 vc110 wcf110 bv110 fv110 sv110 vc200 wcf200 bv200 fv200 sv200 vc212 wcf212 bv212 fv212 sv212 vc221 wcf221 bv221 fv221 sv221
5 0.0614 0.3256 0.0098 0.0524 0.0334 0.0204 0.2308 0.006 0.0038 0.017 0.0408 0.234 0.0 0.0326 0.0246 0.0046 0.226 0.0012 0.0034 2.0E-4 0.0036 0.278 6.0E-4 4.0E-4 0.0032
10 0.0396 0.2689 0.008 0.0323 0.0212 0.0398 0.3577 0.0148 0.0051 0.0331 0.0362 0.2519 7.0E-4 0.0303 0.0216 0.005 0.3135 8.0E-4 0.0042 1.0E-4 0.0032 0.323 7.0E-4 2.0E-4 0.0029
15 0.0482 0.30033333333333334 0.009133333333333334 0.03953333333333333 0.025266666666666666 0.03306666666666667 0.322 0.011266666666666666 0.004933333333333333 0.0276 0.0536 0.3389333333333333 5.333333333333334E-4 0.048 0.030266666666666667 0.005933333333333333 0.314 4.6666666666666666E-4 0.0054 2.0E-4 0.0036 0.2474 9.333333333333333E-4 4.6666666666666666E-4 0.0028
20 0.06815 0.29475 0.014 0.0553 0.03695 0.03575 0.33835 0.00945 0.0063 0.0304 0.0603 0.3321 0.001 0.0486 0.0368 0.0066 0.3267 9.0E-4 0.0057 2.0E-4 0.00385 0.32885 4.0E-4 5.0E-4 0.0032
25 0.06 0.31204 0.01628 0.04524 0.0334 0.03684 0.299 0.01568 0.00476 0.0298 0.06672 0.356 7.6E-4 0.0576 0.03748 0.00524 0.31404 7.2E-4 0.00444 2.8E-4 0.00468 0.32812 6.0E-4 4.8E-4 0.00416
30 0.0662 0.34496666666666664 0.0122 0.05533333333333333 0.03576666666666667 0.0296 0.263 0.0118 0.0047666666666666664 0.024266666666666666 0.04303333333333333 0.29536666666666667 3.6666666666666667E-4 0.036333333333333336 0.025833333333333333 0.006366666666666666 0.34513333333333335 6.333333333333333E-4 0.0057 2.0E-4 0.0047 0.3272 0.001 2.666666666666667E-4 0.004066666666666666
